date,week,ticker,occ,engine_took,decision,reason,outcome,realized_return,net_return,weight
2026-07-13 13:32,2026-W29,HYG,HYG260814P00076500,1,skip,,down,-0.9767,-1.3614,0.5
2026-07-13 13:32,2026-W29,QQQ,QQQ260713C00730000,0,skip,,down,-0.9925,-1.0038,0.1429
2026-07-13 13:32,2026-W29,SPY,SPY260717P00750000,0,skip,,up,0.3756,0.3685,0.0625
2026-07-13 13:32,2026-W29,SPY,SPY260724P00717000,0,skip,,up,0.38,0.37,0.0738
2026-07-13 13:32,2026-W29,QQQ,QQQ260717P00705000,0,skip,,up,0.9087,0.8995,0.1429
2026-07-13 13:32,2026-W29,QQQ,QQQ260714C00732000,0,skip,,down,-0.9113,-0.9212,0.1429
2026-07-13 13:32,2026-W29,HOOD,HOOD260717C00113000,0,skip,,down,-0.597,-0.6119,0.1502
2026-07-13 13:32,2026-W29,WULF,WULF260717P00022000,0,skip,,up,0.3415,0.3171,1.0
2026-07-13 13:32,2026-W29,HYG,HYG261016P00078000,0,skip,,down,-0.8333,-1.0111,0.3893
2026-07-13 13:32,2026-W29,TLT,TLT280121C00091000,0,skip,,vertical,-0.1063,-0.1304,0.047
2026-07-13 13:32,2026-W29,SPCE,SPCE280121C00010000,0,skip,,down,-0.5128,-0.7564,0.9442
2026-07-13 13:41,2026-W29,SPCE,SPCE260814C00002500,1,skip,,down,-0.6667,-1.2831,0.5
2026-07-13 13:52,2026-W29,KLAR,KLAR260814P00018500,1,skip,,down,-0.6382,-1.1824,0.5
2026-07-13 13:52,2026-W29,NFLX,NFLX260918C00100000,0,TAKE,dark_pool.n_prints:HIGH & fundamentals.market_cap:HIGH & macro_context.execution_hour:LOW,down,-0.8919,-0.9324,0.0743
2026-07-13 13:52,2026-W29,TSLA,TSLA260713P00392500,0,TAKE,dark_pool.n_prints:HIGH & fundamentals.market_cap:HIGH & macro_context.execution_hour:LOW,down,-0.712,-0.7435,0.4122
2026-07-13 13:52,2026-W29,USO,USO260715C00112000,0,skip,,up,0.3023,0.2791,0.5992
2026-07-13 13:52,2026-W29,XBI,XBI260731P00150000,0,skip,,down,-0.527,-0.6698,0.1467
2026-07-13 13:52,2026-W29,PLTR,PLTR260717C00134000,0,TAKE,dark_pool.n_prints:HIGH & fundamentals.market_cap:HIGH & macro_context.execution_hour:LOW,up,0.3542,0.3333,0.468
2026-07-13 13:52,2026-W29,EEM,EEM260724P00064500,0,skip,,down,-0.6301,-0.6908,0.3186
2026-07-13 13:52,2026-W29,KLAR,KLAR260821P00017500,0,skip,,down,-1.0,-1.0417,0.9972
2026-07-13 13:52,2026-W29,IREN,IREN260807C00045000,0,skip,,down,-0.6025,-0.6713,0.0645
2026-07-13 13:52,2026-W29,MSTR,MSTR260717P00080000,0,skip,,down,-0.6034,-0.6638,0.1552
2026-07-13 13:52,2026-W29,VYX,VYX270115C00012500,0,skip,,down,-0.6091,-0.6545,1.0
2026-07-13 13:52,2026-W29,EXK,EXK270115C00007500,0,skip,,down,-0.5721,-0.5837,1.0
