date,ticker,occ,engine_took,student_p,student_says,reason,outcome,net_return
2026-07-16 19:23,SNOW,SNOW260724P00250000,0,0.078,VETO,,vertical,-0.2322
2026-07-16 19:23,SPCX,SPCX260717P00128000,0,0.295,VETO,,up,0.5615
2026-07-16 19:23,SPY,SPY260716C00749000,0,0.295,VETO,,down,-0.7435
2026-07-16 19:23,PNC,PNC260821P00240000,0,0.182,VETO,,vertical,-0.0019
2026-07-16 19:23,BCRX,BCRX270115C00010000,0,0.027,VETO,,vertical,-0.3677
2026-07-16 19:23,TLN,TLN260821C00520000,0,0.072,VETO,,down,-0.6843
2026-07-16 19:23,FIG,FIG260731P00022500,0,0.197,VETO,,down,-0.8904
2026-07-16 19:23,IREN,IREN260821P00031000,0,0.197,VETO,,vertical,0.1686
2026-07-16 19:23,XLK,XLK260731P00170000,0,0.203,VETO,,up,0.2354
2026-07-16 19:32,TE,TE260814C00006000,1,0.078,VETO,,vertical,-0.3708
2026-07-16 19:32,QQQ,QQQ260722C00725000,0,0.384,VETO,,down,-0.7875
2026-07-16 19:32,COO,COO260918C00075000,0,0.162,VETO,,down,-0.6541
2026-07-16 19:32,COIN,COIN260724C00170000,0,0.162,VETO,,down,-0.8025
2026-07-16 19:32,BE,BE260821C00430000,0,0.197,VETO,,vertical,-0.2679
2026-07-16 19:32,TE,TE280121C00010000,0,0.162,VETO,,vertical,-0.0967
2026-07-16 19:32,FISV,FISV260821P00050000,0,0.078,VETO,,vertical,0.0481
2026-07-16 19:32,GFS,GFS261016P00035000,0,0.078,VETO,,down,-1.0778
2026-07-16 19:32,AA,AA260717C00047000,0,0.162,VETO,,down,-1.0146
2026-07-16 19:32,BE,BE260717P00197500,0,0.197,VETO,,up,0.5098
2026-07-16 19:32,APH,APH260821P00135000,0,0.078,VETO,,vertical,-0.1195
2026-07-16 19:32,NFLX,NFLX260821P00072000,0,0.229,VETO,,up,0.5792
2026-07-16 19:32,SQQQ,SQQQ260717C00041000,0,0.203,VETO,,up,1.6296
2026-07-16 19:32,LULU,LULU260717P00120000,0,0.197,VETO,,up,0.2754
